Problema;Variable;Claúsulas;K;MejoraLocal;Previo;PartirVars;TLectura;TBúsqueda;TTotal;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K10;N;N;N;0.014953374862670898;18.03121781349182;18.046488761901855;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K10;N;N;Y;0.014953374862670898;18.028416633605957;18.04368829727173;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K15;N;N;N;0.014953374862670898;18.01558017730713;18.03088140487671;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K15;N;N;Y;0.014953374862670898;18.043647050857544;18.058924436569214;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K20;N;N;N;0.014953374862670898;18.087799549102783;18.10307788848877;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K20;N;N;Y;0.014953374862670898;18.10724186897278;18.122517824172974;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K25;N;N;N;0.014953374862670898;18.100191593170166;18.115464687347412;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K25;N;N;Y;0.014953374862670898;18.08901882171631;18.10429096221924;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K05;N;N;N;0.014722108840942383;18.24433398246765;18.259578704833984;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K05;N;N;Y;0.014722108840942383;18.13179039955139;18.14682960510254;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K10;N;N;N;0.014722108840942383;18.21117925643921;18.226213932037354;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K10;N;N;Y;0.014722108840942383;18.150250673294067;18.16528606414795;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K15;N;N;N;0.014722108840942383;18.25249671936035;18.26753568649292;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K15;N;N;Y;0.014722108840942383;18.17798352241516;18.193023443222046;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K20;N;N;N;0.014722108840942383;18.238720893859863;18.253758430480957;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K20;N;N;Y;0.014722108840942383;18.20655107498169;18.221587419509888;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K25;N;N;N;0.014722108840942383;18.265400886535645;18.280441999435425;SAT
CNF/SATBFCircuitosV837C2169_2.cnf;837;2169;K25;N;N;Y;0.014722108840942383;18.221990823745728;18.237028121948242;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K05;N;N;N;0.017567157745361328;23.163913249969482;23.182008028030396;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K05;N;N;Y;0.017567157745361328;23.132293462753296;23.150556087493896;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K10;N;N;N;0.017567157745361328;23.193360805511475;23.21163320541382;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K10;N;N;Y;0.017567157745361328;23.158291339874268;23.17654776573181;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K15;N;N;N;0.017567157745361328;23.254182815551758;23.272422790527344;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K15;N;N;Y;0.017567157745361328;23.228479385375977;23.246760368347168;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K20;N;N;N;0.017567157745361328;23.421533584594727;23.43980312347412;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K20;N;N;Y;0.017567157745361328;23.34405207633972;23.36229372024536;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K25;N;N;N;0.017567157745361328;23.315584897994995;23.33384084701538;SAT
CNF/SATBFCircuitosV843C2286.cnf;843;2286;K25;N;N;Y;0.017567157745361328;23.41623592376709;23.43450617790222;SAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K05;N;N;N;0.036895036697387695;114.58784890174866;114.62569499015808;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K05;N;N;Y;0.036895036697387695;114.76949858665466;114.80695939064026;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K10;N;N;N;0.036895036697387695;115.87468385696411;115.91214323043823;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K10;N;N;Y;0.036895036697387695;115.08588933944702;115.12335252761841;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K15;N;N;N;0.036895036697387695;115.79808115959167;115.83558917045593;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K15;N;N;Y;0.036895036697387695;115.45621418952942;115.49366784095764;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K20;N;N;N;0.036895036697387695;118.71972131729126;118.75717878341675;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K20;N;N;Y;0.036895036697387695;118.9734616279602;119.01090478897095;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K25;N;N;N;0.036895036697387695;157.2882695198059;157.32573437690735;UNSAT
CNF/UNSATBFCircuitosV864C2790.cnf;865;2784;K25;N;N;Y;0.036895036697387695;157.15469074249268;157.1921670436859;UNSAT
CNF/UNSATBFCircuitosV864C2790_2.cnf;864;2790;K05;N;N;N;0.04979538917541504;27.086646795272827;27.137460947036743;UNSAT
CNF/UNSATBFCircuitosV864C2790_2.cnf;864;2790;K05;N;N;Y;0.04979538917541504;27.151789903640747;27.201943397521973;UNSAT
CNF/UNSATBFCircuitosV864C2790_2.cnf;864;2790;K10;N;N;N;0.04979538917541504;25.358067274093628;25.40819764137268;UNSAT
CNF/UNSATBFCircuitosV864C2790_2.cnf;864;2790;K10;N;N;Y;0.04979538917541504;25.482155561447144;25.53219175338745;UNSAT
CNF/UNSATBFCircuitosV864C2790_2.cnf;864;2790;K15;N;N;N;0.04979538917541504;25.503708362579346;25.553775310516357;UNSAT
CNF/UNSATBFCircuitosV864C2790_2.cnf;864;2790;K15;N;N;Y;0.04979538917541504;25.43797016143799;25.488035440444946;UNSAT
